username,transaction_id,card_number,transaction_amount,card_type,transaction_date,merchant_type,transaction_status,customer_id,transaction_time
mdigby0,1,3556272905693047,7516.27,jcb,5/5/2022,restaurant,declined,1,15.89
mnewnham1,2,3561392324130794,2922.96,jcb,11/27/2022,restaurant,pending,2,6.37
gdrynan2,3,3562168706892030,6046.65,jcb,12/30/2022,online,pending,3,1.21
njerzyk3,4,3531481835062963,2958.93,jcb,6/20/2022,retail,declined,4,17.02
fchasemoore4,5,337941977276277,1222.17,americanexpress,1/17/2022,online,approved,5,0.33
rlusher5,6,6709944137862808721,5616.03,laser,10/21/2022,online,pending,6,11.78
emeredyth6,7,3548386264850021,4658.15,jcb,4/11/2022,retail,declined,7,2.89
dbeecraft7,8,3555051016319549,27.23,jcb,8/9/2022,online,declined,8,0.66
cbarford8,9,6333672318821379,2092.47,switch,5/23/2022,retail,declined,9,23.42
fgunningham9,10,5602232342328010,8544.65,bankcard,7/21/2022,restaurant,declined,10,5.85
ogorcha,11,30587439327594,8103.4,diners-club-carte-blanche,10/3/2022,restaurant,declined,11,19.9
sclaypoolb,12,3577058423134860,6193.19,jcb,9/6/2022,retail,pending,12,19.6
hveschambesc,13,3574425159364123,9089.23,jcb,5/1/2022,restaurant,declined,13,4.67
hhablotd,14,4405208070858958,5244.38,visa-electron,9/11/2022,restaurant,approved,14,8.9
cmoxome,15,4936698529680104078,2496.65,switch,11/5/2022,retail,pending,15,5.87
trouchyf,16,5641828628592563690,7748.02,switch,12/1/2022,retail,pending,16,15.97
lizakoffg,17,3586095109848511,1292.68,jcb,4/23/2022,restaurant,declined,17,21.75
hhischkeh,18,6334117507915858154,2273.35,solo,9/9/2022,online,pending,18,22.8
hardeni,19,3556997353558199,5761.72,jcb,10/28/2022,online,approved,19,4.49
gsebleyj,20,3536049483092106,3438.52,jcb,5/7/2022,retail,declined,20,0.52
tpetaschk,21,3553032076273901,8213.88,jcb,11/24/2022,online,declined,21,0.23
lkinsetl,22,3575692561567580,9948.13,jcb,3/31/2022,online,approved,22,1.54
acreeboem,23,5048370032013351,6738.54,mastercard,2/1/2022,retail,pending,23,13.02
lobriann,24,3563108100403728,2994.55,jcb,2/25/2022,retail,approved,24,1.19
apotterilo,25,5100142328867591,8661.32,mastercard,2/20/2022,online,declined,25,17.77
bkienlep,26,6759924871525086,5794.38,maestro,6/26/2022,restaurant,approved,26,19.55
jgilderq,27,3564930577446883,4066.2,jcb,11/1/2022,restaurant,approved,27,8.47
tsainesr,28,4844034133029828,2539.93,visa-electron,2/1/2022,retail,declined,28,4.99
spickens,29,6333467278286873,3406.76,switch,12/18/2022,retail,declined,29,6.83
tkenawayt,30,5100132759891699,1666.4,mastercard,3/6/2022,online,pending,30,15.59
kyglesiasu,31,3535296037348218,1446.67,jcb,4/12/2022,retail,declined,31,2.21
zboottonv,32,3549056274213911,8904.66,jcb,8/9/2022,retail,declined,32,12.51
rduffanw,33,36092082113502,6384.86,diners-club-international,11/5/2022,restaurant,declined,33,12.96
keveringtonx,34,4911467890260012,1488.48,switch,9/12/2022,retail,approved,34,9.38
cjaksicy,35,677149738035970757,8026.51,laser,3/14/2022,restaurant,pending,35,4.28
cgheraldiz,36,4017950036684834,5915.38,visa,11/21/2022,retail,pending,36,14.46
abengtsson10,37,5602212369866175,1797.12,bankcard,9/25/2022,restaurant,declined,37,8.2
bglennard11,38,374288424414588,9140.41,americanexpress,8/20/2022,restaurant,approved,38,6.61
cpitblado12,39,6386776947515934,6359.03,instapayment,3/20/2022,restaurant,approved,39,8.61
mhutson13,40,6767181740655251,9740.81,solo,11/11/2022,retail,approved,40,12.0
